VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesToPurchaseRatio
1128,BROWN-FORMAN CORP,1460,Old Forester Bourbon,12.4,15.99,750.0,22,272.8,20.0,439.8000000000001,373.8300000000001,15.769999999999996,68601.68000000001,167.0000000000001,37.97180536607551,0.9090909090909092,1.61217008797654
9552,M S WALKER INC,27161,El Pundito 06 Gr Rsva Rioja,41.09,59.99,750.0,84,3451.56,6.0,359.94,359.94,0.66,55551.81999999999,-3091.62,-858.926487747958,0.0714285714285714,0.1042832806035531
4380,CHARLES JACQUIN ET CIE INC,5285,Jacquin Triple Sec,6.24,8.29,750.0,10551,65838.23999999948,10461.0,89692.79000000421,58402.150000001646,8241.179999999616,1675.3900000000008,23854.55000000473,26.59583897435191,0.9914700028433324,1.362320590586943
90047,CRUSH WINES,27551,Anne Amie Twelve Oaks Pnt Nr,24.51,37.99,750.0,168,4117.679999999999,35.0,1329.65,1025.73,3.86,1457.7299999999998,-2788.0299999999997,-209.68149513029735,0.2083333333333333,0.3229124167006664
2000,SOUTHERN WINE & SPIRITS NE,13132,F Coppola Rosso & Bianc Shir,5.84,8.99,750.0,38,221.92,32.0,354.68000000000006,288.74000000000007,3.53,19016.59,132.76000000000008,37.43092364948687,0.8421052631578947,1.5982335976928628
5992,MCCORMICK DISTILLING CO,3646,Tarantula Azul Tequila,15.38,19.99,1750.0,18,276.84000000000003,24.0,575.76,67.97,44.09,1567.85,298.92,51.91746561067111,1.3333333333333333,2.0797572605114865
3960,DIAGEO NORTH AMERICA INC,2968,Yukon Jack Wicked Hot,11.59,15.99,750.0,12,139.08,11.0,175.89,143.91,8.670000000000002,257032.0700000001,36.81,20.927852635169707,0.9166666666666666,1.264667817083693
7239,REMY COINTREAU USA INC,4886,St Remy VSOP Authentic Brndy,16.66,21.99,1750.0,403,6713.980000000001,155.0,3536.449999999992,2316.969999999998,284.9099999999998,16978.669999999995,-3177.5300000000093,-89.85083911832534,0.3846153846153846,0.526729302142692
6830,PARK STREET IMPORTS LLC,9104,Oro de Oaxaca Mezcal,19.11,25.99,750.0,12,229.32,12.0,311.88000000000005,129.95,9.45,360.29,82.56000000000006,26.47171989226627,1.0,1.360020931449503
17035,PERNOD RICARD USA,5855,Kahlua Salted Caramel,14.61,18.99,750.0,1345,19650.45,1311.0,24909.890000000272,18829.090000000044,1033.4399999999928,123780.21999999996,5259.440000000275,21.113862807102795,0.974721189591078,1.267649850257896
